citation_context,masked_cit_context,masked_token_target
"n method for non-deterministic REG that aligns generated and observed data and calculates accuracy over alignments. 1174 Proceedings of NAACL-HLT 2013, pages 1174–1184, Atlanta, Georgia, 9–14 June 2013. c�2013 Association for Computational Linguistics 2 Motivation & Overview Most implemented algorithms for referring expression generation focus on unique identification of a referent, determining the set of properties that distinguish a particular target object from the other objects in the scene (the contrast set) (Dale, 1989; Reiter and Dale, 1992; Dale and Reiter, 1995; Krahmer et al., 2003;  Areces et al., 2008 ). This view of reference was first outlined by Olson (1970), “the specification of an intended referent relative to a set of alternatives”. A substantial body of evidence now shows that contrastive value relative to alternatives is not the only factor motivating speakers’ property choices, specifically in visual domains. The phenomena of overspecification and redundancy, where speakers select properties that have little or no contrastive value, was observed in early developmental studies in visual domains (Ford and Olson, 1975; Whitehurst, 1976; Sonnenschein, 1985) as well as later studies on ","n method for non-deterministic REG that aligns generated and observed data and calculates accuracy over alignments. 1174 Proceedings of NAACL-HLT 2013, pages 1174–1184, Atlanta, Georgia, 9–14 June 2013. c�2013 Association for Computational Linguistics 2 Motivation & Overview Most implemented algorithms for referring expression generation focus on unique identification of a referent, determining the set of properties that distinguish a particular target object from the other objects in the scene (the contrast set) (Dale, 1989; Reiter and Dale, 1992; Dale and Reiter, 1995; Krahmer et al., 2003;  <mask> ). This view of reference was first outlined by Olson (1970), “the specification of an intended referent relative to a set of alternatives”. A substantial body of evidence now shows that contrastive value relative to alternatives is not the only factor motivating speakers’ property choices, specifically in visual domains. The phenomena of overspecification and redundancy, where speakers select properties that have little or no contrastive value, was observed in early developmental studies in visual domains (Ford and Olson, 1975; Whitehurst, 1976; Sonnenschein, 1985) as well as later studies on ","Areces et al., 2008"
"tsk´y, 2013) Improvements to SBMT using Ensemble Dependency Parser (Han et al., 2013) Using unlabeled dependency parsing for pre-reordering for Chinese-to-Japanese SMT (Patel et al., 2013) Reordering rules for English-Hindi SMT (Saers et al., 2013) Unsupervised transduction grammar induction via MDL Morpho-syntactic (Laki et al., 2013) English to Hungarian morpheme-based SMT system with reordering rules (Li et al., 2013) Experiments with POS-based restructuring and alignment based reordering for SMT (Khemakhem et al., 2013) Integrating morpho-syntactic feature for English Arabic SMT Semantic ( Rudnick and Gasser, 2013 ) Lexical Selection for Hybrid MT with Sequence Labeling (Boujelbane et al., 2013) Building bilingual lexicon to create dialect Tunisian corpora and adapt LM (Bouillon et al., 2013) Two approaches to correcting homophone confusions in a hybrid SMT based system Multilevels (Pal et al., 2013) A hybrid Word alignment model for PBSMT (Hsieh et al., 2013) Uses of monolingual in-domain corpora for cross-domain adaptation with hybrid MT approaches (Tambouratzis et al., 2013) Overview of a language-independent hybrid MT methodology Table 1: HyTra 2013 paper overview. whether technological breakthroughs","tsk´y, 2013) Improvements to SBMT using Ensemble Dependency Parser (Han et al., 2013) Using unlabeled dependency parsing for pre-reordering for Chinese-to-Japanese SMT (Patel et al., 2013) Reordering rules for English-Hindi SMT (Saers et al., 2013) Unsupervised transduction grammar induction via MDL Morpho-syntactic (Laki et al., 2013) English to Hungarian morpheme-based SMT system with reordering rules (Li et al., 2013) Experiments with POS-based restructuring and alignment based reordering for SMT (Khemakhem et al., 2013) Integrating morpho-syntactic feature for English Arabic SMT Semantic ( <mask> ) Lexical Selection for Hybrid MT with Sequence Labeling (Boujelbane et al., 2013) Building bilingual lexicon to create dialect Tunisian corpora and adapt LM (Bouillon et al., 2013) Two approaches to correcting homophone confusions in a hybrid SMT based system Multilevels (Pal et al., 2013) A hybrid Word alignment model for PBSMT (Hsieh et al., 2013) Uses of monolingual in-domain corpora for cross-domain adaptation with hybrid MT approaches (Tambouratzis et al., 2013) Overview of a language-independent hybrid MT methodology Table 1: HyTra 2013 paper overview. whether technological breakthroughs","Rudnick and Gasser, 2013"
" 5% 4% France 741k 3% 53% 2% 1% Denmark 671k 23% 87% 17% 16% US 648k 8% 59% 7% 4% Netherlands 592k 9% 39% 7% 5% Germany 329k 8% 47% 6% 4% Sweden 170k 5% 64% 4% 3% Italy 132k 10% 61% 8% 6% Spain 56k 6% 37% 5% 3% Norway 51k 5% 50% 4% 3% Belgium 36k 13% 42% 11% 8% Australia 31k 8% 36% 7% 5% Finland 16k 6% 36% 5% 3% Austria 15k 10% 43% 7% 5% Switzerland 14k 8% 41% 7% 4% Canada 12k 10% 19% 9% 4% Ireland 12k 8% 30% 7% 4% Table 2: No. of users per variable per country (after augmentations), for countries with 10k+ users. 3 Methodology For each language, we train a state-of-the-art dependency parser ( Martins et al., 2013 ) on a 104 treebank annotated with the Stanford dependency labels (McDonald et al., 2013) and universal POS tag set (Petrov et al., 2011). This gives us syntactic analyses across all languages that describe the same syntactic phenomena the same way. Figure 1 shows two corpus sentences annotated with this harmonized representation. The style of the reviews is much more canonical than social web data, say Twitter. Expected parse performance can be estimated from the SANCL 2012 shared task on dependency parsing of web data (Petrov and McDonald, 2012). The best result on the review domain there was"," 5% 4% France 741k 3% 53% 2% 1% Denmark 671k 23% 87% 17% 16% US 648k 8% 59% 7% 4% Netherlands 592k 9% 39% 7% 5% Germany 329k 8% 47% 6% 4% Sweden 170k 5% 64% 4% 3% Italy 132k 10% 61% 8% 6% Spain 56k 6% 37% 5% 3% Norway 51k 5% 50% 4% 3% Belgium 36k 13% 42% 11% 8% Australia 31k 8% 36% 7% 5% Finland 16k 6% 36% 5% 3% Austria 15k 10% 43% 7% 5% Switzerland 14k 8% 41% 7% 4% Canada 12k 10% 19% 9% 4% Ireland 12k 8% 30% 7% 4% Table 2: No. of users per variable per country (after augmentations), for countries with 10k+ users. 3 Methodology For each language, we train a state-of-the-art dependency parser ( <mask> ) on a 104 treebank annotated with the Stanford dependency labels (McDonald et al., 2013) and universal POS tag set (Petrov et al., 2011). This gives us syntactic analyses across all languages that describe the same syntactic phenomena the same way. Figure 1 shows two corpus sentences annotated with this harmonized representation. The style of the reviews is much more canonical than social web data, say Twitter. Expected parse performance can be estimated from the SANCL 2012 shared task on dependency parsing of web data (Petrov and McDonald, 2012). The best result on the review domain there was","Martins et al., 2013"
"ons are defined in which a negation cue does not have a scope: phrases like not only, not just, not to mention, no wonder, negative rhetorical questions, and restricted comparative sentences. Jia, Yu, and Meng report that incorporating their scope resolution algorithm into two systems that determine the polarity of sentiment words in reviews and in the TREC blogosphere collection produces better accuracy results than incorporating other algorithms that are described in the literature. Councill, McDonald, and Velikovich (2010) present a system in some aspects similar to the system described by  Morante and Daelemans, 2009 b). The main differences with Morante et al.’s system are that in the first phase, the cues are detected by means of a dictionary of 35 cues instead of being machine learned; in the second phase only a CRF classifier is used, and this classifier incorporates features from dependency syntax. The system is trained and evaluated on the abstracts and clinical reports of the BioScope corpus and on a corpus of product reviews. The PCS reported for the BioScope corpus is 53.7 and 39.8 for the Product Reviews corpus. Cross training results are also reported showing that the system obtains better resul","ons are defined in which a negation cue does not have a scope: phrases like not only, not just, not to mention, no wonder, negative rhetorical questions, and restricted comparative sentences. Jia, Yu, and Meng report that incorporating their scope resolution algorithm into two systems that determine the polarity of sentiment words in reviews and in the TREC blogosphere collection produces better accuracy results than incorporating other algorithms that are described in the literature. Councill, McDonald, and Velikovich (2010) present a system in some aspects similar to the system described by  <mask> b). The main differences with Morante et al.’s system are that in the first phase, the cues are detected by means of a dictionary of 35 cues instead of being machine learned; in the second phase only a CRF classifier is used, and this classifier incorporates features from dependency syntax. The system is trained and evaluated on the abstracts and clinical reports of the BioScope corpus and on a corpus of product reviews. The PCS reported for the BioScope corpus is 53.7 and 39.8 for the Product Reviews corpus. Cross training results are also reported showing that the system obtains better resul","Morante and Daelemans, 2009"
"lts of the evaluation using ten-fold cross validation (Kohavi, 1995) are shown in Table 3 and Table 4. As a comparison, and to verify the suitability of the chosen machine learning method, we also trained and evaluated the BioScope Corpus using Stanford NER CRF for negation, speculation and scope. The results can be seen in Table 5. When training the detection of scope, only BioScope sentences that contained an annotation for negation and speculation were selected for the training and evaluation material for the Stanford NER CRF. This division into two training sets follows the method used by  Morante and Daelemans, 2009 ), where sentences containing a cue are first detected, and then, among these sentences, the scope of the cue is determined. We also trained and evaluated the annotations that were carried out by each annotator A, F and H separately, i.e. the source of consensus. The results can be seen in Table 6. We also compared the distribution of Negation and Speculative words in the consensus versus the BioScope Corpus and we found that the consensus, in Swedish, used about the same number of (types) for negation as the BioScope Corpus in English (see Table 7), but for speculative words the consensus cont","lts of the evaluation using ten-fold cross validation (Kohavi, 1995) are shown in Table 3 and Table 4. As a comparison, and to verify the suitability of the chosen machine learning method, we also trained and evaluated the BioScope Corpus using Stanford NER CRF for negation, speculation and scope. The results can be seen in Table 5. When training the detection of scope, only BioScope sentences that contained an annotation for negation and speculation were selected for the training and evaluation material for the Stanford NER CRF. This division into two training sets follows the method used by  <mask> ), where sentences containing a cue are first detected, and then, among these sentences, the scope of the cue is determined. We also trained and evaluated the annotations that were carried out by each annotator A, F and H separately, i.e. the source of consensus. The results can be seen in Table 6. We also compared the distribution of Negation and Speculative words in the consensus versus the BioScope Corpus and we found that the consensus, in Swedish, used about the same number of (types) for negation as the BioScope Corpus in English (see Table 7), but for speculative words the consensus cont","Morante and Daelemans, 2009"
"for many languages and domains, there is not enough parallel data to train a decent quality MT system. However, compared with parallel data, there are much larger amounts of non parallel data. The ability to learn a translation lexicon or even build a machine translation system using monolingual data helps address the problems of insufficient parallel data. Ravi and Knight (2011) are among the first to learn a full MT system using only non parallel data through decipherment. However, the performance of such systems is much lower compared with those trained with parallel data. In another work,  Klementiev et al., 2012 ) show that, given a phrase table, it is possible to estimate parameters for a phrase-based MT system from non parallel data. Given that we often have some parallel data, it is more practical to improve a translation system trained on parallel data by using additional non parallel data. Rapp (1995) shows that with a seed lexicon, it is possible to induce new word level translations from non parallel data. Motivated by the idea that a translation lexicon induced from non parallel data can be used to translate out of vocabulary words (OOV), a variety of prior research has tried to build a transla","for many languages and domains, there is not enough parallel data to train a decent quality MT system. However, compared with parallel data, there are much larger amounts of non parallel data. The ability to learn a translation lexicon or even build a machine translation system using monolingual data helps address the problems of insufficient parallel data. Ravi and Knight (2011) are among the first to learn a full MT system using only non parallel data through decipherment. However, the performance of such systems is much lower compared with those trained with parallel data. In another work,  <mask> ) show that, given a phrase table, it is possible to estimate parameters for a phrase-based MT system from non parallel data. Given that we often have some parallel data, it is more practical to improve a translation system trained on parallel data by using additional non parallel data. Rapp (1995) shows that with a seed lexicon, it is possible to induce new word level translations from non parallel data. Motivated by the idea that a translation lexicon induced from non parallel data can be used to translate out of vocabulary words (OOV), a variety of prior research has tried to build a transla","Klementiev et al., 2012"
"t natural approaches to achieving reasonable results (Wang et al., 2005). 2 Lexicalized Dependency Parsing A dependency tree specifies which words in a sentence are directly related. That is, the dependency structure of a sentence is a directed tree where the nodes are the words in the sentence and links represent the direct dependency relationships between the words; see Figure 1. There has been a growing interest in dependency parsing in recent years. (Fox, 2002) found that the dependency structures of a pair of translated sentences have a greater degree of cohesion than phrase structures. ( Cherry and Lin, 2003 ) exploited such cohesion between the dependency structures to improve the quality of word alignment of parallel sentences. Dependency relations have also been found to be useful in information extraction (Culotta and Sorensen, 2004; Yangarber et al., 2000). A key aspect of a dependency tree is that it does not necessarily report parts-of-speech or phrase labels. Not requiring parts-of-speech is especially beneficial for languages such as Chinese, where parts-of-speech are not as clearly defined as English. In Chinese, clear indicators of a word’s partof-speech such as suffixes “-ment”, “-ous” ","t natural approaches to achieving reasonable results (Wang et al., 2005). 2 Lexicalized Dependency Parsing A dependency tree specifies which words in a sentence are directly related. That is, the dependency structure of a sentence is a directed tree where the nodes are the words in the sentence and links represent the direct dependency relationships between the words; see Figure 1. There has been a growing interest in dependency parsing in recent years. (Fox, 2002) found that the dependency structures of a pair of translated sentences have a greater degree of cohesion than phrase structures. ( <mask> ) exploited such cohesion between the dependency structures to improve the quality of word alignment of parallel sentences. Dependency relations have also been found to be useful in information extraction (Culotta and Sorensen, 2004; Yangarber et al., 2000). A key aspect of a dependency tree is that it does not necessarily report parts-of-speech or phrase labels. Not requiring parts-of-speech is especially beneficial for languages such as Chinese, where parts-of-speech are not as clearly defined as English. In Chinese, clear indicators of a word’s partof-speech such as suffixes “-ment”, “-ous” ","Cherry and Lin, 2003"
"logy in Section 3 and in Section 4 we present our experimental results and further analysis. In Section 5 we draw conclusions and discuss our plans for future work. 2 Related Work It is either infeasible or very time and cost consuming to acquire in-house expert human knowledge. To obtain valuable human knowledge (e.g., in the format of labeled data), many research projects in the natural language community have been funded to create large-scale corpora and knowledge bases, such as PenTreeBank (Marcus et al., 1993), FrameNet (Baker et al., 1998), PropBank (Palmer et al., 2005), and OntoNotes ( Hovy et al., 2006 ). MTurk has been attracting much attention within several research areas since its release. Su et al. (2007) use MTurk to collect large-scale review data. Kaisser and Lowe (2008) report their work on generating research collections of question-answering pairs using MTurk. Sorokin and Forsyth (2008) outsource image-labeling tasks to MTurk. Kittur et al. (2008) use MTurk as the paradigm for user studies. In the natural language community Snow et al. (2008) report their work on collecting linguistic annotation for a variety of natural language tasks including word sense disambiguation, word simil","logy in Section 3 and in Section 4 we present our experimental results and further analysis. In Section 5 we draw conclusions and discuss our plans for future work. 2 Related Work It is either infeasible or very time and cost consuming to acquire in-house expert human knowledge. To obtain valuable human knowledge (e.g., in the format of labeled data), many research projects in the natural language community have been funded to create large-scale corpora and knowledge bases, such as PenTreeBank (Marcus et al., 1993), FrameNet (Baker et al., 1998), PropBank (Palmer et al., 2005), and OntoNotes ( <mask> ). MTurk has been attracting much attention within several research areas since its release. Su et al. (2007) use MTurk to collect large-scale review data. Kaisser and Lowe (2008) report their work on generating research collections of question-answering pairs using MTurk. Sorokin and Forsyth (2008) outsource image-labeling tasks to MTurk. Kittur et al. (2008) use MTurk as the paradigm for user studies. In the natural language community Snow et al. (2008) report their work on collecting linguistic annotation for a variety of natural language tasks including word sense disambiguation, word simil","Hovy et al., 2006"
"towards different kinds of simultaneous translations. As β → ∞, we recover batch translation. Er ist zum Laden gegangen Psychic β He went to the store Monotone He He to the He to the store He to the store went Batch He went to the store Policy He Prediction He went to He went He went to the the store BLEU(yt, r) (1) arg max p(v) v t i=1 1346 where xi_n+1:i_1 is the n −1-gram context. To narrow the search space, we consider only the 100 most frequent final verbs, where a “final verb” is defined as the sentence-final sequence of verbs and particles as detected by a German part-of-speech tagger ( Toutanova et al., 2003 ).6 5 Learning a Policy We have a framework (states and actions) for simultaneous machine translation and a metric for assessing simultaneous translations. We now describe the use of reinforcement learning to learn a policy, a mapping from states to actions, to maximize LBLEU reward. We use imitation learning (Abbeel and Ng, 2004; Syed et al., 2008): given an optimal sequence of actions, learn a generalized policy that maps states to actions. This can be viewed as a cost-sensitive classification (Langford and Zadrozny, 2005): a state is represented as a feature vector, the loss corresponds to t","towards different kinds of simultaneous translations. As β → ∞, we recover batch translation. Er ist zum Laden gegangen Psychic β He went to the store Monotone He He to the He to the store He to the store went Batch He went to the store Policy He Prediction He went to He went He went to the the store BLEU(yt, r) (1) arg max p(v) v t i=1 1346 where xi_n+1:i_1 is the n −1-gram context. To narrow the search space, we consider only the 100 most frequent final verbs, where a “final verb” is defined as the sentence-final sequence of verbs and particles as detected by a German part-of-speech tagger ( <mask> ).6 5 Learning a Policy We have a framework (states and actions) for simultaneous machine translation and a metric for assessing simultaneous translations. We now describe the use of reinforcement learning to learn a policy, a mapping from states to actions, to maximize LBLEU reward. We use imitation learning (Abbeel and Ng, 2004; Syed et al., 2008): given an optimal sequence of actions, learn a generalized policy that maps states to actions. This can be viewed as a cost-sensitive classification (Langford and Zadrozny, 2005): a state is represented as a feature vector, the loss corresponds to t","Toutanova et al., 2003"
"nd Lee, 2003) with the aim of selecting the shortest paraphrase. Paraphrases can also be used to improve natural language processing (NLP) systems. (CallisonBurch et al., 2006) improved machine translations by augmenting the coverage of patterns that can be translated. Similarly, (Sekine, 2005) improved information retrieval based on pattern recognition by introducing paraphrase generation. In order to produce paraphrases, a promising approach is to see the paraphrase generation problem as a translation problem, where the target language is the same as the source language (Quirk et al., 2004;  Bannard and Callison-Burch, 2005 ). A problem that has drawn less attention is the generation step which corresponds to the decoding step in SMT. Most paraphrase generation tools use some standard SMT decoding algorithms (Quirk et al., 2004) or some off-the-shelf decoding tools like MOSES (Koehn et al., 2007). The goal of a decoder is to find the best path in the lattice produced from a paraphrase table. This is basically achieved by using dynamic programming and especially the Iiterbi algorithm associated with beam searching. However decoding algorithms were designed for translation, not for paraphrase generation. Although le","nd Lee, 2003) with the aim of selecting the shortest paraphrase. Paraphrases can also be used to improve natural language processing (NLP) systems. (CallisonBurch et al., 2006) improved machine translations by augmenting the coverage of patterns that can be translated. Similarly, (Sekine, 2005) improved information retrieval based on pattern recognition by introducing paraphrase generation. In order to produce paraphrases, a promising approach is to see the paraphrase generation problem as a translation problem, where the target language is the same as the source language (Quirk et al., 2004;  <mask> ). A problem that has drawn less attention is the generation step which corresponds to the decoding step in SMT. Most paraphrase generation tools use some standard SMT decoding algorithms (Quirk et al., 2004) or some off-the-shelf decoding tools like MOSES (Koehn et al., 2007). The goal of a decoder is to find the best path in the lattice produced from a paraphrase table. This is basically achieved by using dynamic programming and especially the Iiterbi algorithm associated with beam searching. However decoding algorithms were designed for translation, not for paraphrase generation. Although le","Bannard and Callison-Burch, 2005"
"re word alignment and phrase extraction. Likewise, every input sentence is pre-ordered at translation time. Our baseline is the same system, but without preordering. Our implementation’s integrated distortion model is expressed as a negative exponential function of the distance between the current and previous source phrase, with a maximum jump width of four words. Our in-house decoder is based on the alignment template approach to translation and uses a small set of standard feature functions during decoding (Och and Ney, 2004). We compare to using an integrated lexicalized reordering model ( Koehn and Monz, 2005 ), a forestto-string translation model (Zhang et al., 2011) and finally the syntactic pre-ordering technique of Genzel (2010) applied to the phrase-based baseline. We evaluate the impact of the proposed approach on translation quality as measured by the BLEU score on the token level (Papineni et al., 2002). The translation model is trained on 700 million tokens of parallel text, primarily extracted from the web using automated parallel document identification (Uszkoreit et al., 2010). Alignments were learned using two iterations of Model 1 and two iterations of the HMM alignment model (Vogel et","re word alignment and phrase extraction. Likewise, every input sentence is pre-ordered at translation time. Our baseline is the same system, but without preordering. Our implementation’s integrated distortion model is expressed as a negative exponential function of the distance between the current and previous source phrase, with a maximum jump width of four words. Our in-house decoder is based on the alignment template approach to translation and uses a small set of standard feature functions during decoding (Och and Ney, 2004). We compare to using an integrated lexicalized reordering model ( <mask> ), a forestto-string translation model (Zhang et al., 2011) and finally the syntactic pre-ordering technique of Genzel (2010) applied to the phrase-based baseline. We evaluate the impact of the proposed approach on translation quality as measured by the BLEU score on the token level (Papineni et al., 2002). The translation model is trained on 700 million tokens of parallel text, primarily extracted from the web using automated parallel document identification (Uszkoreit et al., 2010). Alignments were learned using two iterations of Model 1 and two iterations of the HMM alignment model (Vogel et","Koehn and Monz, 2005"
" sequence, as discussed subsequently. But defining a joint syntactic–semantic derivation presents a challenge. Namely, given the complex nature of correspondences between the structures, it is not obvious how to synchronize individual semantic– syntactic steps in the derivation. Previous joint statistical models of dependency syntax and SRL have either ignored semantic arcs not corresponding to single syntactic arcs (Thompson, Levy, and Manning 2003; Titov and Klementiev 2011) or resorted to pre-/post-processing strategies that modify semantic or syntactic structures (Lluis and M`arquez 2008;  Lang and Lapata, 2011 ; Titov and Klementiev 2012). In a constituency setting, Li, Zhou, and Ng (2010) explore different levels of coupling of syntax and semantics, and find that only explicit interleaving or explicit feature selection yield improvements in performance. Instead of synchronizing individual steps, we (1) decompose both the syntactic derivation and the semantic derivation into subsequences, where each subsequence corresponds to a single word in the sentence, and then (2) synchronize syntactic and semantic subsequences corresponding to the same word with each other. To decide which steps correspond to "," sequence, as discussed subsequently. But defining a joint syntactic–semantic derivation presents a challenge. Namely, given the complex nature of correspondences between the structures, it is not obvious how to synchronize individual semantic– syntactic steps in the derivation. Previous joint statistical models of dependency syntax and SRL have either ignored semantic arcs not corresponding to single syntactic arcs (Thompson, Levy, and Manning 2003; Titov and Klementiev 2011) or resorted to pre-/post-processing strategies that modify semantic or syntactic structures (Lluis and M`arquez 2008;  <mask> ; Titov and Klementiev 2012). In a constituency setting, Li, Zhou, and Ng (2010) explore different levels of coupling of syntax and semantics, and find that only explicit interleaving or explicit feature selection yield improvements in performance. Instead of synchronizing individual steps, we (1) decompose both the syntactic derivation and the semantic derivation into subsequences, where each subsequence corresponds to a single word in the sentence, and then (2) synchronize syntactic and semantic subsequences corresponding to the same word with each other. To decide which steps correspond to ","Lang and Lapata, 2011"
"ly on these results. 2 Previous Research Coarse-to-fine search is an idea that has appeared several times in the literature of computational linguistics and related areas. The 169 It must be estimated because during the bottom-up chart-parsing algorithm, the true outside probability cannot be computed. The results cited in Caraballo and Charniak (1998) cannot be compared directly to ours, but are roughly in the same equivalence class. Those presented in Charniak et al. (1998) are superior, but in Section 5 below we suggest that a combination of the techniques could yield better results still.  Klein and Manning, 2003 a) describe efficient A* for the most likely parse, where pruning is accomplished by using Equation 1 and a true upper bound on the outside probability. While their maximum is a looser estimate of the outside probability, it is an admissible heuristic and together with an A* search is guaranteed to find the best parse first. One question is if the guarantee is worth the extra search required by the looser estimate of the true outside probability. Tsuruoka and Tsujii (2004) explore the framework developed in  Klein and Manning, 2003 a), and seek ways to minimize the time required by the heap mani","ly on these results. 2 Previous Research Coarse-to-fine search is an idea that has appeared several times in the literature of computational linguistics and related areas. The 169 It must be estimated because during the bottom-up chart-parsing algorithm, the true outside probability cannot be computed. The results cited in Caraballo and Charniak (1998) cannot be compared directly to ours, but are roughly in the same equivalence class. Those presented in Charniak et al. (1998) are superior, but in Section 5 below we suggest that a combination of the techniques could yield better results still.  <mask> a) describe efficient A* for the most likely parse, where pruning is accomplished by using Equation 1 and a true upper bound on the outside probability. While their maximum is a looser estimate of the outside probability, it is an admissible heuristic and together with an A* search is guaranteed to find the best parse first. One question is if the guarantee is worth the extra search required by the looser estimate of the true outside probability. Tsuruoka and Tsujii (2004) explore the framework developed in  <mask> a), and seek ways to minimize the time required by the heap mani","Klein and Manning, 2003"
"ounts to solving arg maxyEY(x) wTf(x, y), where w is a weight vector. With a projectivity constraint and arc factorization, the parsing problem can be solved in cubic time by dynamic programming (Eisner, 1996), and with a weaker “tree” constraint (permitting nonprojective parses) and arc factorization, a quadratic-time algorithm exists (Chu and Liu, 1965; Edmonds, 1967), as shown by McDonald et al. (2005b). In the projective case, the arc-factored assumption can be weakened in certain ways while maintaining polynomial parser runtime (Eisner and Satta, 1999), but not in the nonprojective case ( McDonald and Satta, 2007 ), where finding the highest-scoring tree becomes NP-hard. McDonald and Pereira (2006) adopted an approximation based on O(n3) projective parsing followed by rearrangement to permit crossing arcs, achieving higher performance. In §3 we adopt a framework that maintains O(n2) runtime (still exploiting the Chu-Liu-Edmonds algorithm) while approximating non arc-factored features. 2.2 Stacked Learning Stacked generalization was first proposed by Wolpert (1992) and Breiman (1996) for regression. The idea is to include two “levels” of predictors. The first level, “level 0,” includes one or more predic","ounts to solving arg maxyEY(x) wTf(x, y), where w is a weight vector. With a projectivity constraint and arc factorization, the parsing problem can be solved in cubic time by dynamic programming (Eisner, 1996), and with a weaker “tree” constraint (permitting nonprojective parses) and arc factorization, a quadratic-time algorithm exists (Chu and Liu, 1965; Edmonds, 1967), as shown by McDonald et al. (2005b). In the projective case, the arc-factored assumption can be weakened in certain ways while maintaining polynomial parser runtime (Eisner and Satta, 1999), but not in the nonprojective case ( <mask> ), where finding the highest-scoring tree becomes NP-hard. McDonald and Pereira (2006) adopted an approximation based on O(n3) projective parsing followed by rearrangement to permit crossing arcs, achieving higher performance. In §3 we adopt a framework that maintains O(n2) runtime (still exploiting the Chu-Liu-Edmonds algorithm) while approximating non arc-factored features. 2.2 Stacked Learning Stacked generalization was first proposed by Wolpert (1992) and Breiman (1996) for regression. The idea is to include two “levels” of predictors. The first level, “level 0,” includes one or more predic","McDonald and Satta, 2007"
"ese MT. He recently spent 15 months in Japan as a visiting research fellow, first at NTT's Basic Research Laboratory, and then at Toshiba Corporation's R&D Center, during which time he was able to closely investigate Japanese NLP activities. Somers's address is: Centre for Computational Linguistics, UMIST, P.O. Box 88, Manchester M60 1QD, England. E-mail: hls@ccl.umist.ac.uk. NATURAL LANGUAGE UNDERSTANDING James Allen (University of Rochester) Menlo Park, CA: Benjamin/Cummings, 1987, xvi + 574 PP. ISBN 0-8053-0330-8; (hb) Reviewed by Michael Kac University of Minnesota Since the appearance of  Tennant, 1981 ), there have been a number of books intended to serve as introductions to computational linguistics., including Harris (1985), Grishman (1986), and Winograd (1983). The book under review is directed at much the same audience and is, in my opinion, the best so far. This is not to say that it is flawless; but its weaknesses are due more to the nature of the subject than to any failings of the author. (I should note, however, that I have not used it in a course, and so cannot report on student reactions to it.) The book is in four parts, entitled &quot;Syntactic Processing&quot;, &quot;Semantic Interpretation&quot;,","ese MT. He recently spent 15 months in Japan as a visiting research fellow, first at NTT's Basic Research Laboratory, and then at Toshiba Corporation's R&D Center, during which time he was able to closely investigate Japanese NLP activities. Somers's address is: Centre for Computational Linguistics, UMIST, P.O. Box 88, Manchester M60 1QD, England. E-mail: hls@ccl.umist.ac.uk. NATURAL LANGUAGE UNDERSTANDING James Allen (University of Rochester) Menlo Park, CA: Benjamin/Cummings, 1987, xvi + 574 PP. ISBN 0-8053-0330-8; (hb) Reviewed by Michael Kac University of Minnesota Since the appearance of  <mask> ), there have been a number of books intended to serve as introductions to computational linguistics., including Harris (1985), Grishman (1986), and Winograd (1983). The book under review is directed at much the same audience and is, in my opinion, the best so far. This is not to say that it is flawless; but its weaknesses are due more to the nature of the subject than to any failings of the author. (I should note, however, that I have not used it in a course, and so cannot report on student reactions to it.) The book is in four parts, entitled &quot;Syntactic Processing&quot;, &quot;Semantic Interpretation&quot;,","Tennant, 1981"
"vation trees and semantic dependency trees, they achieved 83.32% exact match whole-sentence parse selection with an an ensemble of log-linear models that used different subsets of the feature space. As standard for parse selection using log-linear modelling, we model the probability of an analysis given a sentence with a set of analyses as follows: where returns the number of times feature occurs in analysis and is a normalization factor for the sentence. The parse with the highest probability is taken as the preferred parse for the model.2 We use the limited memory variable metric algorithm ( Malouf, 2002 ) to determine the weights. Perceptrons have been used by Collins and Duffy (2002) to re-rank the output of a PCFG, but have not previously been applied to feature-based grammars. Standard perceptrons assign a score rather than probability to each analysis. Scores are computed by taking the inner product of the analysis’ feature vector with the parameter vector: The preferred parse is that with the highest score out of all analyses of a sentence. 4.3 Performance Using the two feature sets (configurational and ngram) with both log-linear and perceptron algorithms, we create the four models shown","vation trees and semantic dependency trees, they achieved 83.32% exact match whole-sentence parse selection with an an ensemble of log-linear models that used different subsets of the feature space. As standard for parse selection using log-linear modelling, we model the probability of an analysis given a sentence with a set of analyses as follows: where returns the number of times feature occurs in analysis and is a normalization factor for the sentence. The parse with the highest probability is taken as the preferred parse for the model.2 We use the limited memory variable metric algorithm ( <mask> ) to determine the weights. Perceptrons have been used by Collins and Duffy (2002) to re-rank the output of a PCFG, but have not previously been applied to feature-based grammars. Standard perceptrons assign a score rather than probability to each analysis. Scores are computed by taking the inner product of the analysis’ feature vector with the parameter vector: The preferred parse is that with the highest score out of all analyses of a sentence. 4.3 Performance Using the two feature sets (configurational and ngram) with both log-linear and perceptron algorithms, we create the four models shown","Malouf, 2002"
